order_id,sku,qty,unit_price
1001,A-06,1,15.29
1001,A-06,2,14.46
1001,A-12,1,58.63
1001,A-08,1,90.73
1001,A-19,1,103.9
1002,A-07,1,112.55
1002,A-11,1,13.31
1002,A-18,2,19.18
1003,A-18,2,21.2
1003,A-04,1,55.12
1003,A-17,2,108.03
1003,A-02,3,24.12
1004,A-19,2,107.22
1004,A-17,1,115.11
1004,A-09,2,67.73
1004,A-13,1,79.18
1005,A-15,2,96.68
1005,A-03,1,20.25
1005,A-19,2,103.01
1006,A-19,1,103.67
1006,A-03,1,22.66
1006,A-13,3,79.84
1006,A-08,1,92.32
1007,A-12,2,57.44
1007,A-01,1,36.62
1007,A-10,1,100.63
1007,A-11,3,14.7
1007,A-16,1,37.06
1008,A-11,1,15.65
1008,A-14,1,105.81
1008,A-18,3,20.09
1008,A-19,1,105.82
1008,A-15,1,91.5
1009,A-13,1,78.64
1009,A-18,2,22.32
1010,A-19,1,102.5
1010,A-03,2,21.68
1010,A-07,1,115.07
1011,A-11,2,15.63
1011,A-19,1,102.72
1011,A-18,1,18.47
1012,A-16,1,39.98
1012,A-16,2,34.26
1012,A-03,1,25.24
1012,A-13,1,74.3
1012,A-14,2,97.28
1013,A-13,1,77.22
1013,A-11,1,12.36
1013,A-18,1,20.32
1014,A-10,1,97.83
1014,A-07,2,117.07
1014,A-18,1,18.07
1015,A-08,1,90.38
1015,A-16,1,34.51
1015,A-13,1,73.18
1015,A-13,2,77.38
1015,A-17,1,115.38
1016,A-03,1,22.6
1016,A-01,1,40.21
1016,A-19,1,101.52
1016,A-18,1,19.64
1016,A-17,1,109.88
1017,A-19,1,103.83
1017,A-19,1,103.14
1017,A-16,1,37.64
1017,A-19,1,99.83
1017,A-09,1,70.88
1018,A-10,1,100.87
1018,A-20,1,120.97
1019,A-08,1,87.32
1019,A-09,1,73.9
1019,A-13,2,72.98
1019,A-09,2,72.85
1020,A-13,1,77.79
1020,A-04,1,52.46
1020,A-10,1,103.52
1020,A-13,1,73.25
1020,A-10,2,97.09
1021,A-20,1,118.32
1022,A-14,1,100.9
1022,A-19,1,109.43
1022,A-05,1,75.47
1022,A-18,1,16.33
1022,A-20,1,116.82
1023,A-05,2,74.52
1023,A-19,2,107.05
1023,A-19,1,103.9
1023,A-15,2,96.27
1024,A-07,1,112.06
1024,A-19,1,104.2
1024,A-17,2,111.92
1024,A-16,2,37.94
1025,A-10,1,101.27
1025,A-02,2,21.71
1025,A-04,1,58.42
1026,A-19,1,105.67
1026,A-02,1,21.48
1027,A-07,1,112.61
1027,A-08,2,92.95
1027,A-19,2,103.35
1027,A-20,2,118.6
1027,A-16,1,36.31
1028,A-01,1,39.84
1028,A-16,2,36.14
1028,A-06,1,16.46
1029,A-17,2,106.94
1029,A-03,2,21.53
1029,A-16,2,37.33
1030,A-17,1,112.51
1030,A-20,2,114.62
1030,A-18,1,20.74
1030,A-18,2,21.48
1030,A-14,1,100.48
1031,A-17,1,114.38
1031,A-13,1,78.11
1031,A-01,1,35.88
1031,A-02,2,26.36
1032,A-02,2,24.96
1032,A-17,1,107.64
1032,A-05,2,69.56
1033,A-05,1,70.85
1033,A-16,1,33.39
1033,A-18,2,16.27
1034,A-07,2,113.54
1035,A-20,1,111.73
1035,A-16,1,36.25
1035,A-19,2,107.16
1035,A-09,1,73.94
1035,A-05,1,73.83
1036,A-01,2,38.65
1037,A-04,2,54.6
1037,A-18,2,18.62
1037,A-11,1,17.08
1037,A-01,1,38.17
1038,A-19,1,105.61
1038,A-02,3,21.94
