order_id,customer_id,order_ts,currency,total_amount
1001,58,2024-04-04T04:22:12,EUR,297.47
1002,114,2023-07-15T23:59:40,EUR,164.22
1003,75,2023-05-03T21:14:04,EUR,385.94
1004,120,2025-03-22T07:45:39,EUR,544.19
1005,217,2023-02-09T00:02:00,EUR,419.63
1006,164,2025-05-06T01:22:44,EUR,458.17
1007,201,2023-10-27T06:28:39,EUR,333.29
1008,192,2024-10-29T08:08:02,EUR,379.05
1009,177,2024-10-03T03:37:06,EUR,123.28
1010,240,2023-05-14T16:58:11,EUR,260.93
1011,210,2023-01-01T19:37:20,EUR,152.45
1012,231,2025-06-15T23:21:03,EUR,402.6
1013,152,2024-12-29T21:20:36,EUR,109.9
1014,12,2023-02-13T07:13:16,EUR,350.04
1015,23,2023-08-14T19:51:52,EUR,468.21
1016,99,2024-04-10T23:27:36,EUR,293.85
1017,30,2023-06-02T23:34:08,EUR,415.32
1018,62,2024-11-24T19:54:23,EUR,221.84
1019,217,2024-01-11T07:01:41,EUR,452.88
1020,141,2023-11-06T22:30:42,EUR,501.2
1021,177,2024-06-22T17:48:59,EUR,118.32
1022,189,2023-06-18T16:10:58,EUR,418.95
1023,76,2024-07-08T12:39:36,EUR,659.58
1024,199,2025-08-17T10:51:07,EUR,515.98
1025,206,2024-10-13T13:26:23,EUR,203.11
1026,52,2024-06-27T17:24:34,EUR,127.15
1027,250,2023-12-06T21:06:54,EUR,778.72
1028,144,2024-06-28T02:31:16,EUR,128.58
1029,69,2024-08-17T13:45:06,EUR,331.6
1030,140,2025-03-14T13:03:20,EUR,505.93
1031,180,2025-03-19T17:01:46,EUR,281.09
1032,213,2023-04-29T00:54:59,EUR,296.68
1033,53,2024-05-28T11:01:42,EUR,136.78
1034,144,2024-02-20T23:35:20,EUR,227.08
1035,39,2023-10-01T07:37:29,EUR,510.07
1036,167,2025-06-27T15:33:50,EUR,77.3
1037,122,2023-07-20T08:34:12,EUR,201.69
1038,163,2024-09-23T12:40:54,EUR,171.43
1039,221,2023-12-23T04:11:22,EUR,169.77
1040,75,2025-06-13T08:54:35,EUR,318.88
1041,9,2024-07-26T04:42:49,EUR,236.62
1042,186,2024-01-02T11:56:44,EUR,291.42
1043,230,2024-10-31T13:18:04,EUR,192.05
1044,168,2024-05-25T04:14:33,EUR,457.94
1045,137,2024-04-10T06:58:57,EUR,374.3
1046,27,2025-07-20T16:21:13,EUR,363.61
1047,194,2025-07-25T23:28:04,EUR,348.11
1048,29,2024-12-20T17:00:21,EUR,237.43
1049,83,2025-07-23T19:44:07,EUR,412.77
1050,240,2025-08-21T19:24:28,EUR,73.49
1051,65,2023-09-24T10:41:25,EUR,50.42
1052,244,2025-06-10T13:30:56,EUR,590.44
1053,71,2025-05-07T13:19:20,EUR,436.51
1054,45,2023-06-17T22:19:47,EUR,640.57
1055,36,2023-03-04T14:44:21,EUR,284.36
1056,159,2024-10-04T02:33:54,EUR,332.7
1057,189,2023-05-29T12:19:55,EUR,269.95
1058,182,2025-05-24T02:57:42,EUR,225.55
1059,91,2023-01-06T04:32:25,EUR,419.14
1060,19,2025-05-17T07:39:18,EUR,454.57
1061,126,2023-07-03T01:00:28,EUR,401.55
1062,141,2024-03-22T01:14:37,EUR,439.12
1063,58,2025-05-04T18:15:35,EUR,100.85
1064,61,2024-05-26T12:52:14,EUR,333.41
1065,105,2025-07-21T09:20:27,EUR,431.6
1066,190,2024-03-21T15:32:11,EUR,198.5
1067,113,2023-08-29T21:18:29,EUR,228.32
1068,117,2024-08-27T04:50:51,EUR,114.53
1069,173,2023-02-26T02:44:47,EUR,50.7
1070,173,2024-08-15T01:05:00,EUR,20.72
1071,47,2025-03-13T11:29:24,EUR,142.33
1072,80,2025-07-03T08:05:40,EUR,230.61
1073,203,2024-10-01T13:24:11,EUR,119.6
1074,229,2023-05-29T15:24:19,EUR,35.83
1075,227,2024-01-29T06:20:02,EUR,305.31
1076,20,2024-10-04T23:31:04,EUR,490.08
1077,146,2024-05-10T09:13:18,EUR,193.68
1078,233,2024-02-15T01:04:13,EUR,59.93
1079,143,2025-04-27T02:46:54,EUR,456.78
1080,1,2023-05-08T03:54:28,EUR,443.31
1081,54,2024-04-02T10:12:18,EUR,202.46
1082,144,2025-07-01T05:15:02,EUR,47.68
1083,185,2024-03-23T14:35:54,EUR,448.08
1084,12,2024-10-03T20:00:31,EUR,238.67
1085,16,2025-01-28T18:24:07,EUR,497.95
1086,102,2025-06-21T13:51:07,EUR,181.75
1087,152,2024-10-29T14:30:17,EUR,189.57
1088,92,2024-10-21T13:47:51,EUR,387.61
1089,186,2024-06-13T03:40:43,EUR,62.55
1090,178,2025-03-03T06:41:31,EUR,111.08
1091,220,2025-04-04T22:42:44,EUR,241.1
1092,41,2024-05-09T14:38:27,EUR,404.37
1093,192,2025-02-21T11:33:46,EUR,305.2
1094,246,2023-02-22T23:43:58,EUR,508.33
1095,145,2023-09-04T09:35:48,EUR,736.81
1096,212,2024-03-24T23:27:08,EUR,421.9
1097,220,2023-11-13T12:03:40,EUR,349.76
1098,141,2023-08-21T12:06:05,EUR,241.92
1099,35,2024-05-13T22:53:48,EUR,239.98
1100,134,2024-09-03T10:22:09,EUR,364.19
1101,115,2023-12-13T10:57:03,EUR,251.7
1102,197,2024-10-04T13:58:48,EUR,336.76
1103,194,2023-03-24T14:13:49,EUR,106.47
1104,242,2024-11-25T09:16:28,EUR,103.86
1105,5,2023-09-06T19:20:23,EUR,228.93
1106,33,2024-07-31T15:17:37,EUR,679.3
1107,224,2025-04-02T00:16:46,EUR,265.7
1108,177,2023-03-28T10:40:10,EUR,23.17
1109,85,2023-10-20T20:04:14,EUR,193.95
1110,217,2023-02-27T21:10:45,EUR,188.95
1111,59,2023-11-24T03:59:44,EUR,247.77
1112,205,2023-02-20T07:09:20,EUR,192.99
1113,98,2023-10-04T23:29:44,EUR,426.56
1114,99,2024-03-16T00:59:42,EUR,37.83
1115,129,2024-11-10T15:17:40,EUR,214.44
1116,240,2024-10-01T05:27:18,EUR,192.92
1117,6,2023-07-29T11:58:19,EUR,170.91
1118,209,2023-06-03T21:59:32,EUR,289.65
1119,95,2023-12-10T18:48:34,EUR,277.65
1120,181,2025-08-01T20:51:48,EUR,357.76
1121,53,2023-12-28T04:20:52,EUR,73.87
1122,202,2023-10-21T03:51:37,EUR,539.07
1123,83,2024-10-10T10:15:41,EUR,618.61
1124,201,2023-07-26T18:22:37,EUR,89.12
1125,1,2025-04-02T18:08:50,EUR,645.82
1126,173,2024-09-09T15:10:04,EUR,214.12
1127,4,2024-05-06T18:34:37,EUR,253.23
1128,193,2025-02-07T01:22:56,EUR,396.81
1129,232,2025-02-16T18:57:37,EUR,380.53
1130,92,2025-07-17T05:08:46,EUR,210.98
1131,72,2025-01-31T17:17:13,EUR,430.98
1132,250,2024-01-06T20:57:25,EUR,320.3
1133,118,2025-07-27T02:33:38,EUR,88.05
1134,123,2024-02-24T03:10:03,EUR,98.47
1135,193,2023-03-24T04:49:33,EUR,343.05
1136,57,2024-03-24T03:35:11,EUR,145.88
1137,47,2024-12-11T03:35:50,EUR,329.81
1138,207,2023-06-19T22:08:36,EUR,16.87
1139,85,2024-12-14T21:45:49,EUR,312.91
1140,66,2024-07-19T06:41:41,EUR,69.75
1141,192,2024-12-24T00:27:39,EUR,536.2
1142,226,2023-12-06T21:31:17,EUR,215.04
1143,50,2024-08-01T20:13:05,EUR,194.5
1144,30,2024-01-16T03:15:45,EUR,486.57
1145,52,2025-03-16T02:56:56,EUR,240.8
1146,166,2024-10-28T15:16:48,EUR,149.8
1147,216,2023-07-29T20:10:54,EUR,157.42
1148,30,2025-07-14T07:01:06,EUR,352.74
1149,81,2024-08-20T13:09:24,EUR,245.97
1150,29,2025-07-29T09:44:48,EUR,366.58
1151,84,2024-12-27T07:54:44,EUR,256.88
1152,34,2023-07-02T02:36:49,EUR,283.73
1153,205,2024-02-22T14:36:26,EUR,58.46
1154,43,2024-10-26T07:04:18,EUR,171.34
1155,111,2023-07-12T20:41:28,EUR,523.78
1156,151,2023-06-01T09:49:42,EUR,152.65
1157,80,2024-11-18T08:27:33,EUR,596.31
1158,144,2025-02-28T03:18:31,EUR,107.14
1159,132,2024-03-23T11:09:55,EUR,513.37
1160,184,2023-09-26T23:49:44,EUR,138.03
1161,195,2023-09-17T01:43:30,EUR,349.43
1162,155,2024-07-16T02:39:24,EUR,339.98
1163,160,2025-03-09T20:06:09,EUR,111.14
1164,61,2023-08-27T01:31:37,EUR,79.36
1165,51,2024-04-23T03:27:14,EUR,371.91
1166,21,2024-09-22T13:52:04,EUR,526.28
1167,210,2023-07-12T08:09:13,EUR,336.79
1168,61,2023-01-28T13:45:57,EUR,413.96
1169,149,2025-05-18T04:55:33,EUR,200.92
1170,1,2023-06-07T18:08:04,EUR,128.56
1171,233,2024-08-31T12:39:39,EUR,173.87
1172,90,2025-08-13T07:05:17,EUR,116.81
1173,34,2023-07-06T08:00:48,EUR,309.38
1174,78,2025-05-24T21:02:17,EUR,562.64
1175,45,2024-03-27T12:10:02,EUR,101.41
1176,73,2025-06-21T18:12:08,EUR,361.3
1177,47,2023-05-25T04:18:00,EUR,612.56
1178,214,2025-08-15T08:55:10,EUR,118.95
1179,56,2023-02-06T04:09:14,EUR,212.23
1180,63,2023-04-24T15:15:59,EUR,375.7
1181,61,2023-05-09T23:59:12,EUR,93.18
1182,26,2023-06-25T09:09:54,EUR,203.63
1183,180,2023-09-23T11:38:22,EUR,586.41
1184,127,2025-06-03T10:23:51,EUR,450.56
1185,214,2025-05-13T07:04:45,EUR,169.51
1186,218,2024-05-09T21:16:11,EUR,338.5
1187,215,2023-01-01T18:47:41,EUR,62.4
1188,216,2023-03-29T18:59:13,EUR,219.47
1189,109,2023-09-28T02:03:57,EUR,476.27
